,OverallQual,SalePrice,YearBuilt,YearRemodAdd,MasVnrArea,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,Neighborhood_NridgHt,ExterQual_Gd,Foundation_PConc,BsmtFinType1_GLQ
311,6,132000,1948,2002,0,972,972,972,1,5,1,1948,1,240,0,0,0,0
312,5,119900,1939,1950,0,793,793,1118,1,5,1,1939,2,410,0,0,0,0
313,7,375000,1965,1965,0,2136,2036,2036,2,8,2,1965,2,513,0,0,0,0
314,7,178000,1925,1990,0,728,832,1641,1,6,1,1925,2,546,0,0,0,0
315,7,188500,2004,2005,0,716,716,1432,2,6,1,2004,2,432,0,1,1,1
316,7,260000,1980,1980,278,845,1153,2353,2,10,1,1983,2,484,0,1,0,1
317,8,270000,2006,2006,0,1088,1088,1959,2,8,1,2006,3,1025,0,1,1,0
318,7,260000,1993,1993,256,1347,1372,2646,2,9,1,1993,3,656,0,1,1,1
319,7,187500,1980,1980,225,1372,1472,1472,2,6,2,1980,2,588,0,0,0,1
320,9,342643,2006,2006,370,1249,1249,2596,3,9,0,2006,3,840,1,0,1,0
321,8,354000,2004,2004,388,1136,1136,2468,2,10,1,2004,3,872,1,1,1,1
322,7,301000,1986,1987,172,1502,1553,2730,2,8,1,1987,2,576,0,1,0,0
323,3,126175,1955,2005,0,1162,1163,1163,1,6,0,1955,1,220,0,0,0,0
324,7,242000,1967,2007,300,710,1898,2978,2,11,1,1961,2,564,0,1,0,0
325,5,87000,1941,1950,0,720,803,803,1,5,0,1941,2,360,0,0,0,0
326,8,324000,1993,1993,0,1719,1719,1719,1,6,2,1993,2,473,0,1,1,1
327,6,145250,1960,1960,175,1383,1383,1383,1,7,0,1960,1,292,0,0,0,0
328,6,214500,1916,1994,0,844,1445,2134,2,10,0,1930,2,441,0,0,0,0
329,5,78000,1920,1950,0,596,596,1192,1,6,0,1920,1,189,0,0,1,0
330,5,119000,1964,1964,84,1728,1728,1728,2,10,0,2002,1,352,0,0,0,1
331,5,139000,1958,1992,0,1056,1056,1056,1,6,0,1958,1,308,0,0,0,0
332,8,284000,2003,2004,296,3206,1629,1629,2,7,1,2003,3,880,1,1,1,1
333,7,207000,2004,2004,146,1358,1358,1358,2,6,1,2004,2,484,1,1,1,1
334,6,192000,1998,1998,0,943,943,1638,2,7,2,1998,2,472,0,0,1,1
335,5,228950,1965,1965,0,1499,1619,1786,2,7,2,1965,2,529,0,0,0,0
336,9,377426,2005,2006,200,1922,1922,1922,2,8,1,2005,3,676,0,1,1,1
337,7,214000,2002,2003,113,1536,1536,1536,2,7,0,2002,2,532,0,1,1,1
338,7,202500,1984,1998,0,1208,1621,1621,2,8,0,1984,2,440,0,1,0,0
339,6,155000,1958,1998,176,1215,1215,1215,1,6,0,1958,1,297,0,0,0,0
340,8,202900,2002,2002,0,967,993,1908,2,9,0,2002,2,431,0,1,1,0
341,4,82000,1950,1950,0,721,841,841,1,4,0,1950,1,294,0,0,0,0
342,3,87500,1949,1950,340,0,1040,1040,2,6,0,1949,2,400,0,0,0,0
343,9,266000,2005,2005,616,1684,1684,1684,2,6,1,2005,2,564,1,0,1,1
344,5,85000,1976,1976,0,536,536,1112,1,4,0,1976,1,336,0,0,0,0
345,6,140200,1939,1950,0,972,972,1577,1,6,1,1939,1,312,0,0,0,0
346,6,151500,1960,1998,0,958,958,958,1,5,0,1960,1,301,0,0,0,0
347,6,157500,1960,1960,30,1478,1478,1478,2,6,2,1960,2,498,0,0,0,0
348,7,154000,2003,2004,106,764,764,1626,2,6,0,2003,2,474,1,1,1,1
349,9,437154,2005,2006,870,1848,1848,2728,2,10,2,2006,3,706,1,0,1,1
350,9,318061,2007,2007,362,1869,1869,1869,2,6,1,2007,2,617,1,0,1,0
351,7,190000,1986,1986,0,1453,1453,1453,1,6,1,1986,2,445,0,0,1,1
352,5,95000,1941,1950,0,616,616,1111,1,5,0,1941,1,200,0,0,0,0
353,6,105900,1928,2003,0,624,720,720,1,5,0,2005,2,484,0,0,0,0
354,6,140000,1940,2000,0,940,1192,1595,1,6,2,1940,1,240,0,0,0,0
355,6,177500,1995,1995,0,1200,1200,1200,2,6,0,1995,2,521,0,1,1,0
356,6,173000,1992,1992,106,1158,1167,1167,2,6,0,1992,2,400,0,0,1,1
357,5,134000,1976,1976,0,1142,1142,1142,1,6,1,1976,2,528,0,0,1,0
358,5,130000,1958,1958,120,1062,1352,1352,1,6,0,1958,1,288,0,0,0,0
359,8,280000,1998,1998,530,1086,1086,1924,2,7,1,1998,2,592,0,1,1,1
360,6,156000,1978,1978,0,888,912,912,1,5,1,1978,2,470,0,0,0,1
361,5,145000,1940,1982,0,883,988,1505,1,8,0,1940,1,240,0,0,0,0
362,7,198500,2003,2003,500,0,495,1922,3,7,1,2003,2,672,0,1,0,0
363,6,118000,1972,2007,510,483,483,987,1,5,0,1972,1,264,0,0,0,0
364,6,190000,1976,1976,120,796,790,1574,2,6,1,1976,2,566,0,0,1,1
365,5,147000,1920,1997,0,672,672,1344,1,6,0,1964,1,468,0,0,0,0
366,6,159000,1963,1963,247,1394,1394,1394,1,6,2,1963,2,514,0,0,0,0
367,6,165000,1962,1962,305,1099,1431,1431,1,6,1,1962,1,296,0,0,0,1
368,5,132000,1954,1954,200,1268,1268,1268,1,7,1,1954,1,244,0,0,1,0
369,5,162000,1959,2006,0,1063,1287,1287,1,7,1,1997,2,576,0,0,0,0
370,6,172400,2000,2000,0,953,953,1664,2,7,1,2000,2,460,0,0,1,0
371,4,134432,1959,1959,0,0,1120,1588,2,7,1,1991,2,680,0,0,0,0
372,6,125000,1984,1984,0,744,752,752,1,4,0,1984,1,264,0,0,0,0
373,5,123000,1953,1953,0,608,1319,1319,1,5,0,1953,1,270,0,0,1,0
374,7,219500,2003,2004,0,847,847,1928,2,8,1,2003,2,434,0,1,1,0
375,1,61000,1922,1950,0,683,904,904,0,4,0,1927,0,0,0,0,0,0
376,5,148000,1996,1996,0,870,914,914,1,5,0,1998,2,576,0,1,1,1
377,8,340000,2004,2005,0,1580,1580,2466,3,8,1,2004,2,610,0,1,1,0
378,9,394432,2010,2010,350,1856,1856,1856,1,8,1,2010,3,834,0,1,1,1
379,6,179000,2000,2000,16,982,1007,1800,2,7,1,2000,2,463,0,0,1,0
380,5,127000,1924,1950,0,1026,1026,1691,2,6,1,1924,1,308,0,0,0,0
381,7,187750,2006,2006,0,1293,1301,1301,2,5,1,2006,2,572,0,1,1,0
382,7,213500,2006,2006,0,939,939,1797,2,8,0,2006,2,639,0,1,1,0
383,6,76000,1928,1950,0,784,784,784,1,5,0,1950,2,360,0,0,0,0
384,6,240000,1992,1992,0,1580,1079,1953,2,9,2,1992,2,501,0,1,1,1
385,8,192000,2004,2005,16,1256,1269,1269,2,6,1,2004,2,430,0,1,1,1
386,5,81000,1910,1996,0,658,658,1184,1,8,0,1927,0,0,0,0,1,0
387,6,125000,1976,1976,255,1041,1125,1125,1,6,1,1977,1,352,0,0,0,0
388,7,191000,1999,2000,125,1468,1479,1479,2,6,0,1999,2,577,0,1,1,0
389,10,426000,2007,2008,272,1682,1742,2332,2,9,1,2008,3,846,1,0,1,1
390,5,119000,1900,1950,0,861,961,1367,1,7,0,1978,1,384,0,0,0,0
391,6,215000,2001,2002,0,804,804,1961,2,7,1,2001,2,560,0,0,1,0
392,5,106500,1959,1959,0,0,882,882,1,5,0,1959,1,294,0,0,0,0
393,4,100000,1941,1950,0,788,788,788,1,4,2,1927,0,0,0,0,0,0
394,5,109000,1940,1950,0,735,735,1034,1,5,0,1940,1,240,0,0,0,0
395,5,129000,1956,1956,0,1144,1144,1144,1,6,0,1956,1,596,0,0,0,0
396,5,123000,1972,1972,0,894,894,894,1,6,0,1985,2,600,0,0,0,0
397,5,169500,1962,1962,288,864,876,1812,2,8,1,1962,1,264,0,0,0,0
398,5,67000,1920,1950,0,961,1077,1077,1,6,0,1920,1,338,0,0,0,0
399,7,241000,2006,2007,100,1092,1112,1550,2,7,0,2007,2,438,0,1,1,1
400,8,245500,1996,1996,0,1260,1288,1288,1,4,2,1996,2,500,0,1,1,1
401,7,164990,2005,2005,0,1310,1310,1310,2,6,1,2005,2,400,0,1,1,1
402,5,108000,1940,1997,0,672,672,672,1,4,0,1940,1,240,0,0,1,0
403,8,258000,1998,1998,650,1141,1165,2263,2,10,1,1998,2,420,0,1,1,0
404,6,168000,1995,1996,0,806,806,1572,2,7,1,1995,2,373,0,0,1,0
405,4,150000,1976,1993,0,1281,1620,1620,2,8,1,1993,2,490,0,0,0,0
406,6,115000,1936,1950,0,1064,1166,1639,1,6,0,1936,1,240,0,0,0,0
407,6,177000,1915,1976,0,840,840,1680,2,8,0,1960,1,308,0,0,0,0
408,7,280000,2006,2006,350,1063,1071,2172,2,9,1,2006,3,947,1,1,1,0
409,8,339750,2007,2008,100,1034,1050,2078,2,8,1,2008,3,836,0,1,1,1
410,5,60000,1958,1958,0,1276,1276,1276,1,5,0,1958,1,350,0,0,0,0
411,5,145000,1955,1955,0,1056,1056,1056,1,5,0,1955,2,572,0,0,0,0
412,7,222000,2009,2009,432,1470,1478,1478,2,7,1,2009,2,484,0,0,1,1
413,5,115000,1927,1950,0,1008,1028,1028,1,5,1,1927,2,360,0,0,0,0
414,7,228000,1993,1993,0,1080,1080,2097,2,9,1,1993,3,678,0,1,1,0
415,7,181134,2007,2007,0,1340,1340,1340,2,6,0,2007,2,396,0,1,1,1
416,6,149500,1978,1978,203,672,672,1400,1,6,1,1978,2,440,0,0,0,0
417,6,239000,1918,1950,0,1370,1370,2624,2,10,1,1918,3,864,0,0,0,0
418,5,126000,1940,1950,0,756,756,1134,1,7,0,1940,1,240,0,0,0,0
419,5,142000,1968,1968,0,1056,1056,1056,1,6,1,1968,1,304,0,0,0,0
420,7,206300,1997,1998,200,1344,1344,1344,2,8,0,1997,4,784,0,0,1,1
421,6,215000,1977,2000,126,1602,1602,1602,2,8,1,1977,2,529,0,1,0,0
422,5,113000,1954,1954,0,988,988,988,1,4,0,1954,2,520,0,0,0,0
423,8,315000,1998,1998,473,1470,1470,2630,2,8,1,1998,3,696,0,1,1,1
424,6,139000,1956,1956,74,1196,1196,1196,1,6,1,1956,1,297,0,0,0,0
425,7,135000,1946,1992,0,651,707,1389,1,6,2,1947,1,240,0,0,0,0
426,7,275000,1989,1989,145,1518,1644,1644,2,5,1,1989,2,569,0,1,1,1
427,4,109008,1957,1957,0,907,907,907,1,5,0,1964,1,352,0,0,0,0
428,7,195400,2007,2007,108,1208,1208,1208,2,6,0,2007,2,628,0,1,1,1
429,6,175000,1988,1988,0,1392,1412,1412,2,6,1,1988,2,576,0,0,0,1
430,6,85400,1971,1971,232,483,483,987,1,4,0,1971,1,264,0,0,0,0
431,6,79900,1920,1998,0,901,1088,1198,1,7,0,1927,0,0,0,0,0,0
432,5,122500,1971,1971,376,765,765,1365,1,6,0,1971,2,440,0,0,0,0
433,6,181000,1997,1998,0,926,926,1604,2,7,1,1997,2,470,0,0,1,0
434,4,81000,1972,1972,0,630,630,630,1,3,0,1927,0,0,0,0,0,0
435,7,212000,1996,1996,0,799,827,1661,2,6,1,1996,2,550,0,1,1,1
436,6,116000,1920,1950,0,648,734,1118,1,6,0,1990,2,440,0,0,0,0
437,6,119000,1926,2004,0,884,904,904,1,4,0,1926,1,180,0,1,1,0
438,5,90350,1913,2002,0,440,694,694,1,4,1,1990,1,352,0,0,1,0
439,6,110000,1920,2000,0,684,684,1196,1,7,0,2005,2,528,0,0,0,0
440,10,555000,2008,2008,200,3094,2402,2402,2,10,2,2008,3,672,1,0,1,1
441,4,118000,1955,1955,270,1440,1440,1440,2,8,0,1927,0,0,0,0,0,0
442,5,162900,1930,1992,0,1078,1128,1573,2,8,1,1930,2,360,0,0,1,0
443,7,172500,2006,2007,72,1258,1258,1258,2,6,1,2007,3,648,0,1,1,0
444,7,210000,1994,1995,0,915,933,1908,2,8,1,1994,2,493,0,1,1,1
445,6,127500,1956,1956,0,1436,1689,1689,1,7,1,1956,2,480,0,0,0,0
446,6,190000,1966,2002,0,1517,1888,1888,2,6,1,1966,2,578,0,1,0,0
447,7,199900,1998,1999,0,930,956,1886,2,10,1,1998,2,431,0,1,1,0
448,6,119500,1937,1950,0,780,780,1376,2,7,1,1937,1,198,0,0,0,0
449,3,120000,1948,2002,0,649,679,1183,1,6,0,1981,1,308,0,0,0,0
450,6,110000,1930,2005,0,813,813,813,1,5,0,1932,1,270,0,0,0,0
451,7,280000,1975,1975,0,1533,1533,1533,2,5,2,1975,2,576,0,0,0,0
452,6,204000,1996,1997,42,872,888,1756,2,7,0,1996,2,422,0,1,1,0
453,8,210000,2008,2008,0,768,786,1590,2,6,0,2008,2,676,0,1,1,0
454,5,188000,1976,1976,0,1728,1728,1728,2,8,0,1976,2,560,0,0,0,0
455,7,175500,1973,1973,320,1242,1242,1242,1,6,1,1973,2,528,0,0,0,0
456,5,98000,1916,1950,0,624,624,1344,1,7,0,1916,3,513,0,0,0,0
457,4,256000,1954,1994,0,1364,1663,1663,1,6,2,1954,2,529,0,0,0,0
458,8,161000,1925,1996,0,588,833,1666,1,7,1,1925,1,228,0,0,1,0
459,5,110000,1950,1950,161,709,979,1203,1,5,1,1950,1,352,0,0,0,0
460,8,263435,2009,2009,110,832,832,1935,2,8,0,2009,2,552,0,1,1,1
461,7,155000,1936,2007,0,560,575,1135,1,6,0,1971,2,576,0,1,1,0
462,5,62383,1965,1965,0,864,864,864,1,5,1,1965,1,360,0,0,0,0
463,6,188700,1934,1995,0,715,849,1660,1,6,1,1939,1,240,0,0,0,0
464,5,124000,1978,1978,136,1040,1040,1040,2,5,0,1927,0,0,0,0,0,0
465,7,178740,2004,2004,18,1375,1414,1414,2,6,1,2004,2,398,0,1,1,0
466,7,167000,1970,1970,0,1277,1277,1277,1,5,1,1970,2,526,0,0,0,1
467,5,146500,1942,1995,224,728,888,1644,1,7,2,1942,1,312,0,0,0,0
468,8,250000,2006,2006,248,1626,1634,1634,2,7,1,2006,3,866,1,1,1,0
469,6,187000,1993,1993,120,832,832,1710,2,7,0,1993,2,506,0,1,1,1
470,8,212000,1985,1985,0,1488,1502,1502,1,4,0,1985,2,528,0,1,1,1
471,7,190000,1977,1977,0,808,1161,1969,2,8,1,1977,2,534,0,0,0,0
472,6,148000,2005,2005,80,547,1072,1072,1,5,0,2005,2,525,0,0,1,1
473,8,440000,2006,2007,304,1976,1976,1976,2,7,1,2006,3,908,1,1,1,1
474,8,251000,2000,2000,0,1494,1652,1652,2,6,0,2000,2,499,0,1,1,1
475,5,132500,1963,1963,0,970,970,970,1,5,0,1996,2,624,0,0,0,1
476,6,208900,1997,1998,215,1478,1493,1493,2,7,1,1997,2,508,0,0,1,1
477,9,380000,2006,2006,772,2153,2069,2643,2,9,1,2006,3,694,1,0,1,0
478,8,297000,2007,2008,336,1705,1718,1718,2,7,1,2007,3,826,0,1,1,1
479,4,89471,1937,2000,435,907,1131,1131,1,7,0,1995,2,672,0,0,0,0
480,9,326000,2004,2005,378,1833,1850,1850,2,8,1,2004,3,772,1,1,1,1
481,9,374000,2003,2004,562,1792,1792,1792,2,6,1,2003,3,874,1,1,1,1
482,7,155000,1915,2005,0,910,916,1826,1,7,1,1915,1,164,0,1,1,0
483,6,164000,1998,1998,116,1216,1216,1216,2,5,0,1998,2,402,0,0,1,1
484,5,132500,1962,2001,0,999,999,999,1,6,0,1963,1,264,0,0,0,0
485,5,147000,1950,2007,0,1113,1113,1113,1,5,1,1950,1,264,0,1,0,0
486,5,156000,1965,1965,168,1073,1073,1073,1,6,0,1965,2,515,0,0,0,0
487,5,175000,1971,1971,0,1484,1484,1484,2,7,1,1971,2,487,0,0,0,0
488,5,160000,1900,1970,0,954,1766,2414,2,10,1,1970,2,520,0,0,0,0
489,4,86000,1970,2002,0,630,630,630,1,3,0,1970,1,286,0,0,0,1
490,5,115000,1976,1976,0,264,616,1304,1,4,1,1976,1,336,0,0,1,0
491,6,133000,1941,1950,0,806,958,1578,1,5,2,1941,1,240,0,0,0,0
492,6,172785,2006,2006,0,728,728,1456,2,8,0,2006,2,429,0,1,1,0
493,5,155000,1960,1960,0,1269,1269,1269,1,6,1,1964,1,308,0,0,0,0
494,5,91300,1938,1996,0,190,886,886,1,4,0,1938,1,273,0,0,0,0
495,4,34900,1920,1950,0,720,720,720,1,4,0,1927,0,0,0,0,0,0
496,8,430000,1992,1993,0,3200,3228,3228,3,10,1,1992,2,546,0,1,1,1
497,7,184000,1925,1950,0,1026,1133,1820,2,8,0,1925,1,240,0,0,1,0
498,5,130000,1967,2004,89,864,899,899,1,5,0,1967,1,288,0,0,1,0
499,5,120000,1958,1985,0,912,912,912,1,5,0,1958,1,297,0,0,0,0
500,6,113000,1973,1973,285,672,672,1218,1,7,0,1973,1,264,0,0,0,0
501,7,226700,2005,2005,0,866,866,1768,2,7,0,2005,2,603,0,1,1,1
502,5,140000,1965,1965,0,1214,1214,1214,1,6,0,1965,2,461,0,0,0,0
503,7,289000,1959,1997,0,1501,1801,1801,2,6,2,1959,2,484,0,0,0,0
504,6,147000,1974,1974,0,855,855,1322,2,6,1,1974,2,440,0,0,0,0
505,5,124500,1952,1952,360,960,960,1960,2,10,0,1952,2,400,0,0,0,0
506,8,215000,1993,1994,125,777,1065,1911,2,8,1,1993,2,471,0,1,1,1
507,6,208300,2009,2009,0,1218,1218,1218,2,4,0,2009,2,676,0,1,1,1
508,7,161000,1928,2005,0,689,689,1378,2,7,1,1928,2,360,0,0,0,0
509,5,124500,1959,1959,132,1041,1041,1041,1,6,0,1959,1,270,0,0,0,0
510,5,164900,1951,2000,70,1008,1363,1363,1,6,2,1951,1,288,0,1,0,0
511,7,202665,2005,2006,94,1368,1368,1368,2,6,1,2005,2,474,1,1,1,0
512,5,129900,1958,1958,0,864,864,864,1,5,0,1964,2,624,0,0,0,0
513,6,134000,1983,1983,0,1084,1080,1080,1,5,0,1983,2,484,0,0,1,0
514,5,96500,1926,1950,0,768,789,789,1,5,0,1926,1,200,0,0,0,0
515,10,402861,2009,2009,305,2006,2020,2020,2,9,1,2009,3,900,1,0,0,1
516,6,158000,1972,1972,333,689,1378,2119,2,7,1,1972,2,583,0,0,0,0
517,7,265000,1996,1997,921,1264,1277,2344,2,7,1,1996,3,889,0,1,1,0
518,6,211000,1998,1998,0,794,882,1796,2,7,0,1998,2,546,0,0,1,1
519,7,234000,1926,2004,0,1276,1276,2080,1,9,2,1926,1,282,0,1,0,0
520,4,106250,1900,2000,0,0,694,1294,2,7,0,1927,0,0,0,0,0,0
521,6,150000,1957,1957,0,1244,1244,1244,1,6,2,1957,1,336,0,0,0,0
522,6,159000,1947,1950,0,1004,1004,1664,2,7,2,1950,2,420,0,0,0,0
523,10,184750,2007,2008,762,3138,3138,4676,3,11,1,2007,3,884,0,0,1,1
524,7,315750,1996,1997,594,1379,1383,2398,2,8,1,1996,3,834,0,1,1,1
525,7,176000,2005,2005,0,1257,1266,1266,2,6,1,2005,2,453,0,1,1,0
526,5,132000,1956,2000,0,928,928,928,1,4,0,1956,1,252,0,0,0,0
527,9,446261,2008,2008,268,1452,1476,2713,2,11,1,2008,3,858,1,0,1,1
528,4,86000,1920,2002,0,528,605,605,1,5,0,1927,0,0,0,0,0,0
529,6,200624,1957,1975,0,2035,2515,2515,3,9,2,1975,2,484,0,1,1,0
530,6,175000,1988,1989,219,1461,1509,1509,2,5,1,1988,2,600,0,1,0,1
531,6,128000,1920,1999,0,611,751,1362,2,6,0,1920,2,502,0,0,0,0
532,5,107500,1955,2007,0,0,827,827,1,5,1,1967,1,392,0,0,0,0
533,1,39300,1946,1950,0,0,334,334,1,2,0,1927,0,0,0,0,0,0
534,8,178000,2004,2004,0,707,707,1414,2,6,1,2004,2,403,0,1,1,0
535,5,107500,1910,1991,0,1117,820,1347,1,5,0,1927,0,0,0,0,0,1
536,7,188000,1998,1999,0,880,880,1724,2,8,0,1998,2,527,0,0,1,0
537,4,111250,1972,1972,0,864,864,864,1,5,0,1980,2,576,0,0,0,0
538,5,158000,1968,1968,188,1051,1159,1159,1,7,1,1968,1,336,0,0,0,0
539,8,272000,2001,2002,479,1581,1601,1601,2,6,1,2001,2,670,0,1,1,1
540,9,315000,2006,2006,584,1838,1838,1838,2,8,1,2006,3,765,0,0,1,1
541,8,248000,2000,2000,72,969,997,2285,2,8,1,2000,3,648,0,1,1,0
542,7,213250,1998,1999,0,1650,1680,1680,2,7,1,1998,2,583,0,1,1,0
543,7,133000,1998,1998,182,723,767,767,1,4,0,1998,1,367,0,0,1,1
544,7,179665,2006,2006,0,654,664,1496,2,7,1,2006,2,426,0,1,1,1
545,7,229000,1988,1988,178,1204,1377,2183,2,9,0,1988,3,786,0,1,1,1
546,6,210000,1923,1950,0,1065,915,1635,1,6,1,1950,2,440,0,0,0,0
547,5,129500,1970,1970,0,768,768,768,1,5,0,1987,2,624,0,0,0,0
548,5,125000,1955,1995,0,825,825,825,1,4,0,1963,2,720,0,0,0,0
549,7,263000,2003,2004,0,912,912,2094,2,8,1,2003,2,615,0,1,1,0
550,6,140000,1977,1977,0,1069,1069,1069,2,4,0,1977,2,440,0,0,0,0
551,5,112500,1957,1957,0,928,928,928,1,5,0,1957,1,288,0,0,0,0
552,8,255500,2006,2006,250,1709,1717,1717,2,7,1,2006,3,908,1,1,1,0
553,4,108000,1949,2003,0,0,1126,1126,2,5,0,2002,2,520,0,0,0,0
554,7,284000,2003,2004,292,998,1006,2046,2,8,1,2003,3,871,1,1,1,1
555,5,113000,1922,1950,0,993,1048,1048,1,5,1,1922,1,280,0,0,0,0
556,5,141000,1957,1957,0,1092,1092,1092,1,6,1,1957,1,299,0,0,0,0
557,4,108000,1920,1950,0,637,897,1336,1,7,0,1994,1,570,0,0,0,0
558,7,175000,1996,1997,0,729,729,1446,2,6,1,1996,2,406,0,0,1,1
559,7,234000,2003,2004,18,1374,1557,1557,2,7,1,2003,2,420,0,1,1,0
560,5,121500,1957,1996,180,1392,1392,1392,1,5,1,1957,2,528,0,0,0,0
561,5,170000,1974,1975,0,1389,1389,1389,1,6,1,1975,2,418,0,0,0,0
562,5,108000,1940,1969,0,996,996,996,1,6,1,1927,0,0,0,0,0,0
563,6,185000,1918,1950,0,1163,1163,1674,2,8,1,1955,2,396,0,0,0,0
564,7,268000,1992,2000,0,1095,1166,2295,2,9,1,1992,2,590,0,1,1,1
565,6,128000,1915,1950,0,806,841,1647,1,6,0,1920,1,216,0,0,1,0
566,9,325000,2005,2007,245,1122,1134,2504,2,11,1,2005,3,656,0,1,1,0
567,7,214000,2004,2004,168,1517,1535,1535,2,7,0,2004,2,532,1,1,1,1
568,8,316600,1983,2009,0,1496,1496,2132,1,5,1,1983,2,612,0,1,0,1
569,5,135960,1979,1979,0,943,943,943,1,4,2,1979,2,600,0,0,0,1
570,5,142600,1965,1965,108,1728,1728,1728,2,10,0,1987,2,576,0,0,0,0
571,6,120000,1959,1959,207,864,864,864,1,4,0,1959,1,288,0,0,0,0
572,7,224500,2009,2009,0,846,846,1692,2,6,0,2009,2,650,0,0,1,0
573,7,170000,2000,2000,0,384,774,1430,2,8,1,2000,2,400,0,0,1,0
574,5,139000,1971,2005,82,372,576,1109,1,5,0,1971,1,288,0,0,0,0
575,5,118500,1947,1950,0,832,832,1216,1,6,0,1947,1,336,0,0,0,0
576,7,145000,1928,1950,0,861,877,1477,2,6,1,1928,1,216,0,0,0,0
577,5,164500,1966,1966,97,1164,1320,1320,1,6,2,1966,2,564,0,0,0,0
578,7,146000,2007,2007,0,689,703,1392,2,5,0,2007,2,540,0,1,1,0
579,5,131500,1954,1954,335,1050,1050,1795,2,7,0,1954,1,352,0,0,0,0
580,6,181900,1960,1987,85,1144,1429,1429,1,7,2,1960,2,572,0,0,0,0
581,8,253293,2008,2009,306,2042,2042,2042,2,8,1,2009,3,1390,1,0,1,0
582,6,118500,1990,1990,104,816,816,816,1,5,0,1927,0,0,0,0,0,1
583,10,325000,1893,2000,0,1237,1521,2775,3,9,1,1988,2,880,0,0,0,0
584,4,133000,1935,1995,0,884,989,1573,1,6,0,1935,1,240,0,0,0,0
585,8,369900,2005,2006,208,1868,2028,2028,2,7,2,2005,3,880,0,1,1,1
586,6,130000,1918,2000,0,816,838,838,1,5,0,1961,1,275,0,0,0,0
587,5,137000,1982,1982,0,840,860,860,1,4,0,1996,2,528,0,0,0,0
588,5,143000,1968,2003,0,1437,1473,1473,1,5,2,1968,1,452,0,0,0,1
589,5,79500,1930,1960,0,742,779,935,1,4,0,1988,1,308,0,0,0,0
590,7,185900,2004,2004,0,770,770,1582,2,6,0,2004,2,520,0,1,1,1
591,10,451950,2008,2008,420,1722,1728,2296,2,10,1,2008,3,842,1,0,1,1
592,5,138000,1982,2003,0,816,816,816,1,4,0,1985,2,816,0,0,1,1
593,6,140000,2003,2003,170,848,848,848,1,4,0,2003,2,420,0,1,1,1
594,5,110000,1975,1975,0,924,924,924,1,5,0,1981,1,280,0,0,0,0
595,8,319000,2005,2006,238,1814,1826,1826,2,7,1,2005,3,758,0,1,1,1
596,6,114504,1910,1993,0,684,684,1368,1,7,0,1930,1,216,0,0,0,0
597,7,194201,2006,2007,72,1258,1402,1402,0,7,1,2006,3,648,0,1,1,0
598,5,217500,1977,1977,459,1430,1647,1647,2,7,1,1977,2,621,0,0,0,0
599,6,151000,1980,1980,0,716,716,1556,2,6,1,1980,2,452,0,0,0,0
600,8,275000,2005,2005,280,1058,1058,1904,2,8,1,2003,2,736,1,1,1,1
601,6,141000,1937,1950,0,780,780,1375,1,6,1,1979,1,544,0,0,1,0
602,8,220000,1992,1992,0,908,927,1915,2,8,1,1992,2,506,0,1,1,1
603,7,151000,2004,2005,0,600,600,1200,2,4,0,2004,2,480,0,1,1,0
604,7,221000,2002,2002,99,1494,1494,1494,2,6,1,2002,2,530,0,1,1,1
605,7,205000,1965,1990,176,768,1186,1986,2,7,3,1965,2,486,0,0,0,0
606,5,152000,1996,1996,0,1040,1040,1040,1,6,0,2000,2,576,0,0,1,1
607,5,225000,1948,2002,0,896,1112,2008,3,8,0,1948,1,230,0,0,0,1
608,8,359100,1934,1998,0,965,1940,3194,2,10,2,1934,2,380,0,0,1,0
609,4,118500,1961,1961,192,1029,1029,1029,1,5,0,1961,1,261,0,0,0,0
610,9,313000,2000,2000,204,1440,1476,2153,2,8,2,2000,3,736,0,1,1,1
611,6,148000,1978,1978,233,1032,1032,1032,2,6,1,1978,2,564,0,0,0,0
612,8,261500,2001,2001,108,1299,1299,1872,2,7,1,2001,2,531,0,1,1,1
613,5,147000,2007,2007,0,1120,1120,1120,1,6,0,1927,0,0,0,0,1,0
614,4,75500,1972,1972,0,630,630,630,1,3,0,1927,0,0,0,0,0,0
615,6,137500,1963,1963,156,936,1054,1054,1,6,0,1963,2,480,0,0,1,1
616,6,183200,2002,2003,0,783,807,1509,2,7,1,2002,2,393,0,1,1,1
617,6,105500,1954,1954,0,832,832,832,1,4,0,1962,2,528,0,0,0,0
618,9,314813,2007,2007,452,1822,1828,1828,2,9,1,2007,3,774,1,0,1,1
619,8,305000,2003,2003,226,1482,1482,2262,2,10,2,2003,3,749,0,1,1,1
620,3,67000,1914,1950,0,864,864,864,1,5,0,1927,0,0,0,0,0,0
621,6,240000,1974,1997,0,1522,1548,2614,2,9,1,1974,2,624,0,0,0,0
622,5,135000,1977,1977,153,980,980,980,1,6,0,1986,2,484,0,0,0,0
623,6,168500,2000,2000,513,756,756,1512,2,4,1,2000,2,440,0,1,1,1
624,6,165150,1972,1972,288,732,1012,1790,1,8,1,1972,2,484,0,0,0,0
625,6,160000,1962,1962,261,1116,1116,1116,1,5,0,1962,2,440,0,0,0,0
